alt,apps,batt_voltage,cg_accel_x,cg_accel_y,cg_accel_z,coolant_temp,epoch,fr_adc1,fr_adc2,fr_adc3,fr_adc4,gear,lambda,lat,lon,map,nanos,oil_pa,rpm,timestamp,tps
233761,352,133,108,65477,2500,2935,1731130520,705,622,564,1462,0,913,30.3863188,97.7244509,539,674785408,6223,5317,1731130520,178
233775,347,133,118,65467,2510,2937,1731130520,702,623,562,1468,0,888,30.3863188,97.7244509,544,774785382,6214,5083,1731130520,178
233779,351,133,108,65477,2510,2937,1731130520,707,625,562,1466,0,899,30.3863188,97.7244509,544,874785355,6208,5306,1731130520,178
233798,353,133,118,65458,2520,2938,1731130520,702,624,563,1464,0,890,30.3863188,97.7244509,531,974785329,6236,5386,1731130520,178
233811,351,133,118,65477,2511,2938,1731130521,707,627,562,1463,0,932,30.3863187,97.7244509,538,74785302,6224,5151,1731130521,178
233820,350,133,88,65467,2453,2939,1731130521,705,625,563,1467,0,899,30.3863187,97.724451,535,174785276,6239,5263,1731130521,178
233834,353,133,108,65477,2510,2939,1731130521,704,625,563,1467,0,899,30.3863187,97.724451,541,274785250,6248,4981,1731130521,178
233852,352,133,108,65477,2491,2941,1731130521,707,627,563,1470,0,900,30.3863186,97.724451,546,374785223,6195,4987,1731130521,179
233861,353,133,118,65477,2490,2941,1731130521,704,623,562,1466,0,886,30.3863186,97.724451,551,474785197,6218,5095,1731130521,178
233876,346,133,118,65458,2511,2941,1731130521,704,623,562,1466,0,926,30.3863185,97.724451,546,574785170,6211,5271,1731130521,178
233897,352,133,118,65467,2510,2942,1731130521,707,625,562,1467,0,921,30.3863185,97.724451,541,674785144,6215,5128,1731130521,178
233927,347,133,108,65339,2490,2942,1731130521,706,624,562,1468,0,922,30.3863184,97.724451,540,874785091,6232,5202,1731130521,178
233927,346,133,108,65477,2510,2943,1731130521,703,624,564,1465,0,891,30.3863184,97.724451,542,874785091,6221,5212,1731130521,178
233944,353,133,108,65487,2521,2943,1731130521,703,625,562,1469,0,922,30.3863184,97.724451,539,974785065,6245,5389,1731130521,178
233973,352,133,108,65516,2471,2944,1731130522,703,624,563,1467,0,909,30.3863183,97.724451,531,174785012,6259,5428,1731130522,178
233983,346,133,118,65516,2491,2944,1731130522,708,628,563,1469,0,882,30.3863183,97.724451,531,274784986,6278,5383,1731130522,178
233997,345,133,118,65477,2520,2946,1731130522,706,623,563,1464,0,898,30.3863182,97.724451,528,374784959,6290,5295,1731130522,178
234021,353,133,118,65458,2480,2946,1731130522,711,629,563,1460,0,883,30.3863182,97.724451,532,474784933,6258,5274,1731130522,178
234034,354,133,118,65497,2491,2947,1731130522,702,623,562,1470,0,872,30.3863182,97.724451,536,574784906,6263,5253,1731130522,178
234050,346,133,118,65497,2481,2947,1731130522,704,623,562,1471,0,874,30.3863181,97.724451,539,674784880,6243,5108,1731130522,178
234060,353,133,108,65467,2501,2948,1731130522,701,622,562,1468,0,915,30.3863181,97.724451,541,774784854,6218,5269,1731130522,179
234081,355,133,108,65487,2500,2948,1731130522,708,628,563,1465,0,919,30.3863181,97.724451,544,874784827,6244,5034,1731130522,178
234094,346,133,108,65349,2500,2949,1731130522,703,623,563,1460,0,938,30.386318,97.724451,548,974784801,6207,5109,1731130522,178
234105,354,133,88,65487,2452,2949,1731130523,708,627,563,1470,0,930,30.386318,97.7244511,545,74784774,6233,5255,1731130523,178
234110,348,133,118,65467,2500,2951,1731130523,706,625,562,1463,0,900,30.386318,97.7244511,541,174784748,6229,5399,1731130523,179
234127,347,133,118,65467,2510,2951,1731130523,698,617,562,1464,0,906,30.386318,97.7244511,545,274784722,6248,5042,1731130523,179
234138,345,133,118,65477,2490,2952,1731130523,704,623,562,1467,0,892,30.386318,97.7244511,546,374784695,6231,5278,1731130523,178
234151,355,133,108,65507,2452,2952,1731130523,705,625,562,1471,0,900,30.386318,97.7244511,541,474784669,6219,5327,1731130523,178
234166,346,133,127,65477,2530,2953,1731130523,705,625,562,1471,0,866,30.3863179,97.7244511,541,574784643,6210,5404,1731130523,178
234172,346,133,127,65467,2540,2954,1731130523,706,626,562,1468,0,873,30.3863179,97.7244511,534,674784616,6224,5306,1731130523,178
234187,349,133,108,65467,2480,2954,1731130523,704,624,561,1472,0,862,30.3863179,97.7244511,535,774784590,6220,5338,1731130523,178
234202,355,133,108,65477,2470,2956,1731130523,706,625,562,1463,0,864,30.3863179,97.7244511,532,874784564,6239,5477,1731130523,178
234215,347,133,108,65497,2442,2956,1731130524,702,623,563,1466,0,873,30.3863178,97.7244511,522,74784511,6231,5339,1731130524,178
234226,354,133,127,65497,2510,2957,1731130524,703,623,563,1465,0,862,30.3863178,97.7244511,533,174784485,6255,5384,1731130524,179
234226,349,133,118,65467,2500,2957,1731130524,704,624,562,1464,0,872,30.3863178,97.7244511,535,274784458,6244,5305,1731130524,179
234243,346,133,127,65467,2551,2958,1731130524,702,623,562,1476,0,856,30.3863178,97.7244511,527,374784432,6246,5333,1731130524,178
234256,345,133,118,65458,2501,2958,1731130524,707,625,562,1473,0,859,30.3863178,97.7244511,534,474784406,6255,5181,1731130524,178
234263,349,133,108,65497,2480,2959,1731130524,703,622,563,1466,0,833,30.3863178,97.7244512,536,574784379,6238,5336,1731130524,178
234281,347,133,118,65477,2511,2959,1731130524,704,626,562,1470,0,864,30.3863178,97.7244512,531,674784353,6228,5434,1731130524,178
234286,348,133,118,65467,2521,2961,1731130524,706,627,562,1472,0,862,30.3863178,97.7244512,524,774784327,6237,5320,1731130524,178
234289,355,133,137,65487,2511,2961,1731130524,706,626,563,1470,0,880,30.3863178,97.7244512,536,874784300,6243,5151,1731130524,179
234306,349,134,108,65467,2501,2962,1731130524,704,622,561,1468,0,891,30.3863177,97.7244512,536,974784274,6244,5288,1731130524,178
234308,346,133,108,65477,2470,2962,1731130525,708,626,562,1466,0,888,30.3863177,97.7244512,536,74784248,6239,5277,1731130525,178
234319,349,134,98,65487,2480,2963,1731130525,705,624,560,1463,0,899,30.3863177,97.7244512,535,174784221,6244,5443,1731130525,178
234325,349,134,108,65477,2481,2963,1731130525,703,623,563,1469,0,867,30.3863177,97.7244512,525,274784195,6268,5489,1731130525,178
234331,349,134,108,65497,2461,2965,1731130525,703,623,561,1466,0,896,30.3863177,97.7244512,523,374784169,6254,5311,1731130525,178
